,e1,px1,py1,pz1,e2,px2,py2,pz2
35,40.102201136,-28.429948627,7.8350832911,26.766509426,53.519805188,28.429948627,-7.8350832911,-44.414288672
36,97.69035143,-0.52254850448,-20.774842967,-95.338594522,23.486288223,0.52254850448,20.774842967,9.8817294672
37,94.818046962,-14.12536855,4.9947007884,-93.508817536,22.27478183,14.12536855,-4.9947007884,15.798823783
38,380.32030799,-41.727348393,16.719446627,377.62512518,234.92595125,41.727348393,-16.719446627,230.53720106
39,38.90023687,7.5670502262,-34.858844138,14.789833158,44.979818493,-7.5670502262,34.858844138,26.994347703
40,105.10807252,10.814923164,17.945140344,102.8913324,24.104646556,-10.814923164,-17.945140344,-10.952322153
41,44.43673376,-2.9725481925,-44.037674927,2.0929528268,57.703946011,2.9725481925,44.037674927,36.871432431
42,127.09895958,16.098724926,-6.5167156551,-125.818993,21.375686567,-16.098724926,6.5167156551,11.540946627
43,1061.3081398,-27.232585383,-33.912045798,-1060.4061661,582.84151164,27.232585383,33.912045798,-581.19746827
44,73.543830328,-5.0707274395,-17.474244822,71.102345042,21.462679254,5.0707274395,17.474244822,-10.367983985
45,44.198274921,-22.449833211,-22.713373052,-30.191144056,46.446980989,22.449833211,22.713373052,33.396702178
46,41.048452984,-11.109235967,14.237863677,-36.561641191,49.113633523,11.109235967,-14.237863677,45.43046458
47,114.58071399,-24.096957421,38.199048391,-105.19895135,120.77270904,24.096957421,-38.199048391,-111.91124426
48,128.19998646,-25.767150254,-34.324471816,-120.71052618,240.19926182,25.767150254,34.324471816,-236.28685952
49,1777.7838733,-14.381518012,-18.067678753,-1777.6276723,171.69137774,14.381518012,18.067678753,-170.06636973
50,60.008125849,31.477001881,26.390502215,-43.492814502,58.239785586,-31.477001881,-26.390502215,41.018561293
51,1416.3947017,-36.740282145,5.4982089901,-1415.8996371,662.90650626,36.740282145,-5.4982089901,-661.84806973
52,70.088045446,4.5497595866,46.852134112,51.71480766,52.067606671,-4.5497595866,-46.852134112,21.751388033
53,70.916444873,28.006625046,20.511994163,-61.659867032,314.84257291,-28.006625046,-20.511994163,-312.88758806
54,924.99238179,-8.7331564562,-13.435149801,924.84163244,34.53036891,8.7331564562,13.435149801,30.223916113
55,106.17169787,-8.5374415741,-42.086909133,96.985275173,203.48878694,8.5374415741,42.086909133,198.85019633
56,62.366186811,10.942585219,42.461165255,44.099439126,49.587829018,-10.942585219,-42.461165255,22.675362416
57,737.99555454,-2.3073382002,34.73461659,737.15909485,173.68056178,2.3073382002,-34.73461659,170.09124063
58,41.386777013,34.81234166,3.8564534984,21.540750824,49.363223622,-34.81234166,-3.8564534984,-34.465438933
59,52.478565773,11.258084085,-6.4044053169,50.637426878,2145.3102319,-11.258084085,6.4044053169,2145.2659836
60,169.73956955,25.287956968,1.4721101051,167.77301212,26.264577692,-25.287956968,-1.4721101051,5.1078533257
