,e1,px1,py1,pz1,e2,px2,py2,pz2
53,680.72192956,4.5885920968,26.572770365,680.1713667,154.35245525,-4.5885920968,-26.572770365,151.90596808
54,135.48439421,23.394937721,10.823174582,-132.92654684,29.871773546,-23.394937721,-10.823174582,-14.344637874
55,16.847414037,-12.340817475,5.4372873761,8.9378683007,110.47651483,12.340817475,-5.4372873761,-109.54957991
56,800.54771915,28.600115583,-12.915460318,799.91861143,1379.2019859,-28.600115583,12.915460318,1378.8369201
57,69.87656933,9.2019006504,-3.3426320177,69.027507394,2144.2171338,-9.2019006504,3.3426320177,2144.1896322
58,627.90676613,-26.262419035,15.348600134,627.15191363,563.16699472,26.262419035,-15.348600134,562.32524376
59,1299.6492935,-21.673081388,-20.281734277,-1299.3017836,678.75509473,21.673081388,20.281734277,-678.08946122
60,36.086478252,-17.467997192,4.3195595964,30.924980059,492.80026634,17.467997192,-4.3195595964,492.44920853
61,27.693562612,1.0040066607,-0.51603249202,-27.268463309,49.173602741,-1.0040066607,0.51603249202,48.935456344
62,130.29815259,38.116973561,22.137094088,122.52576855,188.49327949,-38.116973561,-22.137094088,183.2066369
63,111.50859869,33.509045548,14.464245605,-105.26161241,385.1190056,-33.509045548,-14.464245605,-383.35686761
64,132.93134328,13.687161795,-13.875509158,-131.41074489,1309.4477881,-13.687161795,13.875509158,-1309.2942953
65,158.6295146,7.8582021885,38.796661062,153.53924792,124.78004106,-7.8582021885,-38.796661062,118.24143265
66,37.925193121,-24.254814572,26.419751887,11.398725964,67.70032999,24.254814572,-26.419751887,57.227138327
67,754.22511753,10.990386388,8.0850269064,-754.08705178,45.605040367,-10.990386388,-8.0850269064,-43.261685749
68,50.018142785,1.2339532204,32.714817633,-37.522562204,48.286757314,-1.2339532204,-32.714817633,35.181515014
69,547.90920355,-12.934161048,-11.107615967,-547.62371541,58.192881233,12.934161048,11.107615967,-55.440506597
70,50.791271614,5.9954813111,-35.14013712,-35.873224545,45.843779765,-5.9954813111,35.14013712,-28.439182657
71,68.780116008,-12.320439637,3.5463793495,67.411010368,17.321766082,12.320439637,-3.5463793495,-10.657557922
72,705.78941141,-26.899055721,41.966259963,704.01127625,1525.3876709,26.899055721,-41.966259963,1524.5657514
73,122.2732108,15.933444257,33.238210591,116.49032059,644.02639555,-15.933444257,-33.238210591,642.95354021
74,252.26277014,-29.949630276,-21.282286081,249.52855376,686.62324724,29.949630276,21.282286081,685.62342258
75,2100.6042799,-5.6073715636,-4.9658377185,2100.585668,26.491485569,5.6073715636,4.9658377185,24.972117403
76,58.047837352,-18.16525035,-2.9986003736,-54.849735612,20.38015495,18.16525035,2.9986003736,7.3683642219
77,132.87618622,21.242182839,-0.15212732333,131.08294088,884.46319972,-21.242182839,0.15212732333,884.19557123
78,45.20563969,44.261569908,-1.7884779795,-7.6925051545,48.116846249,-44.261569908,1.7884779795,18.189438385
79,46.743399914,-13.968671235,16.391145032,41.219680057,30.577659499,13.968671235,-16.391145032,-21.192211987
80,477.13207081,-45.88502069,24.209365272,-474.27986939,855.52267521,45.88502069,-24.209365272,-853.93526061
81,839.55760015,-37.060883525,6.1668589615,-838.70336516,186.88104097,37.060883525,-6.1668589615,-183.00517543
82,38.824948802,26.008956014,-27.528848377,-7.1402635518,49.846462337,-26.008956014,27.528848377,-32.066751029
83,191.75045989,17.084840094,-30.537115466,188.47212443,147.21722147,-17.084840094,30.537115466,142.92100306
84,54.245126884,-43.096234289,28.97477193,14.95396176,54.686520212,43.096234289,-28.97477193,-16.483406037
85,48.694813952,8.6567452309,-18.853177154,43.803120654,23.722609934,-8.6567452309,18.853177154,-10.501937693
86,421.95338079,-49.887125422,13.112511612,418.76234587,458.1717127,49.887125422,-13.112511612,455.23462641
87,6.8877929724,4.0711581016,-2.9096538585,0.55792308279,550.36244127,-4.0711581016,2.9096538585,-550.31962199
88,38.266588,34.133320386,-13.481621788,-9.7675007319,83.962186265,-34.133320386,13.481621788,-75.37055815
89,84.365431253,-6.7018666571,15.005262582,82.615755571,24.236181732,6.7018666571,-15.005262582,-17.18224616
90,37.180556139,-33.625072843,-15.108044993,1.1854145334,96.106450599,33.625072843,15.108044993,-88.631040271
91,28.990791793,-2.7596453683,6.256233421,-27.778047261,34.12789809,2.7596453683,-6.256233421,33.103886914
92,969.12596269,13.114913253,5.4387418239,969.01055758,69.488341949,-13.114913253,-5.4387418239,67.859846776
93,281.95883585,-21.344145504,-12.049639219,-280.85214751,1182.8696789,21.344145504,12.049639219,-1182.6063677
94,62.419352569,-20.989839169,-22.938398687,53.919774595,103.37219756,20.989839169,22.938398687,98.473233647
95,219.83271734,23.513070202,15.517168549,-217.96946259,89.80604963,-23.513070202,-15.517168549,-85.143347128
96,99.924230124,-47.604142633,0.86587650527,-87.726037343,104.04582765,47.604142633,-0.86587650527,-92.393398641
97,443.2773043,19.687892345,1.6968390265,442.81168248,30.199467312,-19.687892345,-1.6968390265,22.347828938
98,622.31926394,-35.730782794,-17.947318247,621.01560463,917.93780244,35.730782794,17.947318247,917.05448261
99,197.50355572,-39.639393288,-14.006946672,192.91990169,223.35792549,39.639393288,14.006946672,219.3152909
100,181.7230417,9.291022358,40.812739454,176.77435076,342.17729961,-9.291022358,-40.812739454,339.57504556
101,21.727455492,2.2368198477,14.362690294,15.449986624,372.47488961,-2.2368198477,-14.362690294,372.16147457
102,1573.6513326,-13.977190024,-0.13547844435,1573.5822338,60.897556175,13.977190024,0.13547844435,59.0850417
103,10.514669547,-1.5582148227,-7.972659508,-4.7409854065,354.78920065,1.5582148227,7.972659508,-354.665047
104,63.691140745,-14.804452011,20.442536255,-58.287239783,27.319492552,14.804452011,-20.442536255,9.3378576472
105,791.94351443,23.693001594,-28.595732424,-791.05838332,717.24704466,-23.693001594,28.595732424,-716.26961323
106,1409.7363726,-10.003920658,9.3585826895,1409.6619768,36.985535458,10.003920658,-9.3585826895,34.032019255
107,820.7875251,0.10714676548,-37.940046549,819.89670859,1102.3576154,-0.10714676548,37.940046549,1101.6944965
108,11.6406731,8.8732695124,1.5569950118,5.6794475885,526.86545578,-8.8732695124,-1.5569950118,526.76746231
109,76.529076313,-31.04184653,16.316104559,-67.858662066,49.147299475,31.04184653,-16.316104559,-34.110929945
110,116.5838614,-30.216170081,27.258012739,-109.14985363,63.626233241,30.216170081,-27.258012739,-48.684611158
111,260.02509132,-26.205047375,13.176995756,258.32270591,94.698296778,26.205047375,-13.176995756,89.918516933
112,71.718595164,-4.6468727085,21.831579044,67.994526417,48.199917944,4.6468727085,-21.831579044,-42.460932871
113,81.066156548,27.976538433,-12.500225848,74.904535167,82.979892576,-27.976538433,12.500225848,76.971619595
114,64.028459342,1.1932824622,-2.2457254945,-63.805065627,31.688392283,-1.1932824622,2.2457254945,31.234548171
115,135.86380809,4.852055589,20.703746109,134.10703487,22.368357356,-4.852055589,-20.703746109,5.1054739678
116,508.25980336,-30.657367731,4.2383480071,507.29488458,1076.5429888,30.657367731,-4.2383480071,1076.0877654
117,722.69621191,-30.857232748,13.509544636,-721.89545511,983.8045463,30.857232748,-13.509544636,-983.21646584
118,26.237939193,15.878095009,18.391661344,8.716211619,88.801775214,-15.878095009,-18.391661344,85.283633677
119,21.846243056,-16.878199891,-6.2704603379,-11.444476015,177.4745869,16.878199891,6.2704603379,-176.49630787
120,114.37360801,-36.895150244,-7.0490775081,107.92724681,158.48722415,36.895150244,7.0490775081,153.89986554
121,30.733682263,-8.6468985768,-28.284352161,6.9062141055,106.14870312,8.6468985768,28.284352161,-101.83655406
122,58.761629854,-37.025399336,-18.187111225,-41.583505533,50.335440512,37.025399336,18.187111225,28.459011945
123,599.0209725,20.799394844,19.287426042,598.33052393,1509.9908248,-20.799394844,-19.287426042,1509.7170534
124,121.7736408,-15.563554756,17.854815433,-119.35539755,530.59075747,15.563554756,-17.854815433,-530.0409826
125,51.53669157,-3.218293233,-24.98055331,44.716385397,38.874337641,3.218293233,24.98055331,-29.235914079
126,19.222813501,-6.9323290036,-5.0475769046,-16.549662862,68.33129578,6.9323290036,5.0475769046,67.627958457
127,52.102548052,-8.0730169363,37.468865403,-34.978508208,47.254547566,8.0730169363,-37.468865403,-27.236240354
128,30.221684677,5.2331753561,26.907989258,11.825151773,33.074640992,-5.2331753561,-26.907989258,-17.900163868
129,25.546626718,-4.2863224026,24.730720799,0.74768020976,110.94023073,4.2863224026,-24.730720799,-107.96139904
130,199.99675867,34.653207613,7.1947247676,-196.78415743,622.53217578,-34.653207613,-7.1947247676,-621.50753095
131,94.813056868,-23.541781038,-2.1784716909,91.697680229,534.92692229,23.541781038,2.1784716909,534.38353361
132,1408.5810743,-26.380925213,12.884553135,-1408.2672289,554.19359202,26.380925213,-12.884553135,-553.39541244
133,711.08395825,-15.369409988,-12.167205698,710.79817531,103.00142001,15.369409988,12.167205698,101.00961769
134,36.37089768,0.32810448065,-13.179820686,33.569880431,53.873810534,-0.32810448065,13.179820686,-52.023861213
135,17.114099793,-14.311611013,-2.1457875727,7.8342707162,242.61890088,14.311611013,2.1457875727,-242.14131092
136,26.060695082,24.117792795,4.324161382,-7.5301744497,64.454658413,-24.117792795,-4.324161382,-59.430183326
137,53.874860027,-23.729553005,8.5213577503,-47.378321195,706.70705531,23.729553005,-8.5213577503,-706.24150742
138,556.01313691,-47.743005226,28.10592898,553.22615685,509.66165886,47.743005226,-28.10592898,506.61975753
139,18.745724372,2.4481123665,-6.6498319447,-16.706246232,100.48097148,-2.4481123665,6.6498319447,100.12053791
